ç
Semáforo, Latitude, Longitude
Av. Paulo de Frontin x R. João Paulo I,"-22.91580702","-43.21032437"
Av. Paulo de Frontin x R. Joaquim Palhares,"-22.91270513","-43.20951895"
R. Joaquim Palhares x R. João Paulo I,"-22.91422368","-43.20769924"
R. Joaquim Palhares x R. Haddock Lobo,"-22.91477923","-43.20695451"
R. Estácio de Sa x Trav. Ped.,"-22.91445997","-43.20597768"
R. Estácio de Sa x R. São Carlos,"-22.91397088","-43.20434036"
R. Frei Caneca x R. Heitor Carrilho,"-22.91434094","-43.19930753"
Av. Salvador de Sa x R. Heitor Carrilho,"-22.91234488","-43.19962696"
Av. Salvador de Sa x Trav. Ped.,"-22.91171816","-43.19625836"
R. Frei Caneca x R. do Catumbi,"-22.91435712","-43.19618301"
R. Frei Caneca x Av. Trinta e Um de Marco,"-22.91150602","-43.19507735"
R. Frei Caneca x R. Marq de Pombal,"-22.91089347","-43.19296855"
R. Riachuelo x Av. Henrique Valadares,"-22.91306505","-43.19126694"
Av. Henrique Valadares x R. Tte Possolo,"-22.91289909","-43.19079688"
Av. Mem de Sa x R. do Senado,"-22.91141801","-43.19136048"
R. Gal Caldwell x R. Frei Caneca,"-22.91004849","-43.19136333"
Pç. da Republica x Trav. Ped.,"-22.90729227","-43.19015114"
Pç. da Republica x Trav. Ped.,"-22.90798612","-43.18966524"
R. Frei Caneca x R. Vinte de Abril,"-22.90905816","-43.18857064"
R. do Senado x R. Vinte de Abril,"-22.91057487","-43.1886175"
Av. Henrique Valadares x Pç. Cruz Vermelha,"-22.91228277","-43.18924396"
Pç. Cruz Vermelha x Trav. Ped.,"-22.91246474","-43.1886662"
Pç. Cruz Vermelha x Av. Mem de Sa,"-22.91241202","-43.18849353"
Pç. Cruz Vermelha x R. Carlos Sampaio,"-22.91163216","-43.18791971"
R. Carlos Sampaio x R. Washington Luiz,"-22.91307653","-43.18865723"
R. Carlos Sampaio x R. do Rezende,"-22.91327602","-43.18851708"
R. Riachuelo x R. Tadeu Kosciusko,"-22.91504787","-43.18844869"
R. Riachuelo x R. André Cavalcanti,"-22.9149457","-43.18696392"
Av. Mem de Sa x R. Ubaldino do Amaral,"-22.9125183","-43.18583345"
Av. Henrique Valadares x R. Ubaldino do Amaral,"-22.91142186","-43.18670182"
R. Riachuelo x R. dos Inválidos,"-22.91460422","-43.18380268"
Av. Mem de Sa x R. do Rezende,"-22.91277629","-43.18351041"
Av. Henrique Valadares x R. dos Inválidos,"-22.91085307","-43.18522283"
R. do Senado x R. dos Inválidos,"-22.90958698","-43.18562591"
R. Visc de Rio Branco x R. dos Inválidos,"-22.90811738","-43.18569984"
Pç. da Republica x R. Buenos Aires,"-22.90612106","-43.1871826"
R. Republica do Líbano x R. da Constituição,"-22.90684668","-43.18611366"
R. Visc de Rio Branco x Av. Gomes Freire,"-22.90784421","-43.18495712"
R. do Senado x Av. Gomes Freire,"-22.90929805","-43.18452504"
R. da Relação x Av. Gomes Freire,"-22.91035954","-43.18383412"
Av. Mem de Sa x Av. Gomes Freire,"-22.91267328","-43.18314127"
R. Riachuelo x Av. Gomes Freire,"-22.91431219","-43.18248538"
R. Riachuelo x R. Silvio Romero,"-22.91374558","-43.18189614"
Av. Mem de Sa x R. Lavradio,"-22.91317519","-43.18170318"
R. Lavradio x Trav. Ped.,"-22.91153024","-43.1824169"
R. da Relação x R. Lavradio,"-22.91063698","-43.18282896"
R. Visc de Rio Branco x R. Lavradio,"-22.90763726","-43.18399974"
Pç. Tiradentes x Trav. Ped.,"-22.90748815","-43.18337915"
R. da Constituição x R. Gonçalves Ledo,"-22.90657335","-43.18403511"
Av. Passos x R. da Constituição,"-22.90633203","-43.18188373"
Pç. Tiradentes x R. da Carioca,"-22.90660143","-43.18192153"
R. da Carioca x Av. Republica do Paraguai,"-22.90687367","-43.18113623"
Av. Republica do Paraguai x Trav. Ped.,"-22.90866489","-43.18062251"
R. Visc de Rio Branco x Trav. Ped.,"-22.90853572","-43.18740053"
R. Frei Caneca x Trav. Ped.,"-22.91141356","-43.19472615"
R. Ulisses Guimarães x R. Helio Beltrão,"-22.91252961","-43.20523445"
R. Joaquim Palhares x R. Ulisses Guimarães,"-22.91334526","-43.20824406"
R. Moncorvo Filho x Via de Ligação (Sem Código),"-22.90785503","-43.19094281"
R. Gal Caldwell x Via de Ligação (Sem Código),"-22.90832039","-43.19221736"
R. Chichorro x Trav. Ped.,"-22.91703095","-43.19530969"
Av. Mal. Câmara x Av. Franklin Roosevelt,"-22.90877628","-43.16961723"
R. Primeiro de Marco x Trav. Ped.,"-22.90274441","-43.17555858"
R. Primeiro de Marco x Trav. Ped.,"-22.90163197","-43.17625604"
R. Primeiro de Marco x R. Sete de Setembro,"-22.90362485","-43.17492507"
R. Primeiro de Marco x R. da Assembléia,"-22.90422156","-43.17447329"
R. Primeiro de Marco x R. São Jose,"-22.90478381","-43.17415897"
Av. Pres. Antonio Carlos x Av. Erasmo Braga,"-22.90513719","-43.17397323"
Av. Pres. Antonio Carlos x Av. Almte Barroso,"-22.90732118","-43.17300729"
Av. Pres. Antonio Carlos x Trav. Ped.,"-22.90669958","-43.17328851"
Av. Nilo Peçanha x Trav. Ped.,"-22.90668122","-43.1734626"
Av. Pres. Antonio Carlos x R. Araújo Porto Alegre,"-22.90852902","-43.17266162"
Av. Pres. Antonio Carlos x R. Santa Luzia,"-22.90983743","-43.17220984"
Av. Pres. Antonio Carlos x Av. Franklin Roosevelt,"-22.90948095","-43.17202276"
Av. Nilo Peçanha x Av. Graça Aranha,"-22.90638987","-43.17523613"
Av. Almte Barroso x Av. Graça Aranha,"-22.90792669","-43.17437782"
R. Araújo Porto Alegre x Av. Graça Aranha,"-22.90921382","-43.17431789"
R. Santa Luzia x Av. Graça Aranha,"-22.91055023","-43.17393182"
Av. Pres. Wilson x Av. Calogeras,"-22.91099304","-43.17312632"
Av. Beira Mar x Av. Calogeras,"-22.91130904","-43.17284846"
R. México x Av. Almte Barroso,"-22.90783835","-43.17552874"
R. México x R. Araújo Porto Alegre,"-22.90934122","-43.17528164"
R. México x R. Santa Luzia,"-22.91091333","-43.17480203"
R. México x Av. Pres. Wilson,"-22.91193592","-43.1736584"
Av. Rio Branco x R. Buenos Aires,"-22.90309268","-43.17861102"
Av. Rio Branco x Trav. Ped.,"-22.90132242","-43.17896356"
Av. Rio Branco x Trav. Ped.,"-22.90344556","-43.17802235"
Av. Rio Branco x R. Sete de Setembro,"-22.90448877","-43.17651562"
Av. Rio Branco x R. da Assembléia,"-22.90585921","-43.17731073"
R. da Assembléia x R. Uruguaiana,"-22.90628996","-43.17796201"
Av. Rio Branco x Av. Nilo Peçanha,"-22.90631636","-43.17670573"
Av. Rio Branco x Trav. Ped.,"-22.90786098","-43.17719389"
Av. Rio Branco x Av. Almte Barroso,"-22.90809777","-43.17675803"
Av. Treze de Maio x Av. Almte Barroso,"-22.90807782","-43.17767182"
Av. Rio Branco x R. Evaristo da Veiga,"-22.90919085","-43.17599611"
R. Evaristo da Veiga x Trav. Ped.,"-22.90956259","-43.17659039"
Av. Rio Branco x R. Santa Luzia,"-22.9113564","-43.17550049"
Av. Rio Branco x Av. Pres. Wilson,"-22.91253188","-43.17423893"
Av. Rio Branco x Av. Beira Mar,"-22.9134901","-43.17448678"
R. Senad Dantas x R. Evaristo da Veiga,"-22.91017329","-43.17788338"
R. Senad Dantas x R. do Passeio,"-22.91217724","-43.17629049"
Av. Republica do Paraguai x R. Evaristo da Veiga,"-22.91232887","-43.17888075"
Av. Republica do Paraguai x Av. Mem de Sa,"-22.91361985","-43.17875711"
Av. Republica do Paraguai x Trav. Ped.,"-22.91324811","-43.17867363"
R. Teixeira de Freitas x R. do Passeio,"-22.91401028","-43.17792781"
Av. Republica do Paraguai x Largo da Lapa,"-22.91421597","-43.1781656"
R. Teixeira de Freitas x R. Mestre Valentim,"-22.91445661","-43.1760117"
R. Teixeira de Freitas x Av. Beira Mar,"-22.91489876","-43.17508106"
R. da Gloria x R. Candido Mendes,"-22.91914176","-43.17720319"
Av. Augusto Severo x Pç. Paris,"-22.91911528","-43.17624757"
Av. Augusto Severo x Largo da Glória,"-22.91698728","-43.17668192"
Av. Augusto Severo x Largo da Glória,"-22.91733831","-43.17662501"
Av. Augusto Severo x Largo da Glória,"-22.91736983","-43.17648092"
R. da Gloria x R. Benjamim Constant,"-22.92036007","-43.17672727"
R. do Catete x R. Santo Amaro,"-22.92209789","-43.17718743"
R. do Catete x Trav. Ped.,"-22.92315401","-43.17714234"
Av. Beira Mar x Av. Augusto Severo,"-22.92027223","-43.17477177"
Praia do Flamengo x R. Silveira Martins,"-22.92520037","-43.1728493"
Praia do Flamengo x Trav. Ped.,"-22.92782231","-43.17340904"
Praia do Flamengo x R. Ferreira Viana,"-22.9278203","-43.1737102"
Praia do Flamengo x R. Dois de Dezembro,"-22.93007612","-43.17439182"
Praia do Flamengo x R. Barão do Flamengo,"-22.93279974","-43.17449282"
Praia do Flamengo x Trav. Ped.,"-22.93494106","-43.17430045"
Praia do Flamengo x Trav. Ped.,"-22.93521783","-43.17432795"
Av. Alfred Agache x Ladeira da Misericórdia,"-22.9050315","-43.17036088"
Av. Republica do Chile x R. Senad Dantas,"-22.90854201","-43.17850448"
R. Pedro Américo x R. Bento Lisboa,"-22.92510381","-43.17989353"
R. Bento Lisboa x R. Correa Dutra,"-22.92654793","-43.17955951"
R. Bento Lisboa x R. Gago Coutinho,"-22.93061642","-43.17921367"
R. das Laranjeiras x R. Minist Tavares de Lyra,"-22.93123467","-43.17926925"
R. do Catete x R. Machado de Assis,"-22.93158025","-43.17761751"
Largo do Machado x Trav. Ped.,"-22.93096947","-43.17786503"
R. do Catete x R. Dois de Dezembro,"-22.92984629","-43.17761122"
R. do Catete x R. Correa Dutra,"-22.9277504","-43.1768628"
R. do Catete x R. Silveira Martins,"-22.92597947","-43.17653306"
R. do Catete x Trav. Ped.,"-22.92453669","-43.17686322"
R. Conde de Baependi x R. Minist Tavares de Lyra,"-22.93292999","-43.1790317"
R. Senad Vergueiro x Pç. José de Alencar,"-22.9328155","-43.17726136"
R. Marq de Abrantes x Trav. Ped.,"-22.93718414","-43.17742347"
R. Senad Vergueiro x R. Marq de Paraná,"-22.93831662","-43.17663993"
R. Senad Vergueiro x R. Cruz Lima,"-22.93699346","-43.17604766"
R. Senad Vergueiro x R. Paissandu,"-22.93435047","-43.17608387"
R. Marq de Abrantes x R. Paissandu,"-22.93437788","-43.17781381"
Av. Oswaldo Cruz x R. Barão de Icaraí,"-22.93926017","-43.17498417"
Av. Rui Barbosa x Trav. Ped.,"-22.94311987","-43.17398094"
Av. Rui Barbosa x Trav. Ped.,"-22.93956209","-43.17103688"
R. Conde de Baependi x Trav. Ped.,"-22.93328849","-43.18057029"
R. das Laranjeiras x Travessa Euricles de Matos,"-22.93212173","-43.18174166"
R. das Laranjeiras x R. Ipiranga,"-22.93260813","-43.18305259"
R. das Laranjeiras x R. Pereira da Silva,"-22.93327977","-43.18545115"
R. das Laranjeiras x R. Soares Cabral,"-22.93424578","-43.18698923"
R. das Laranjeiras x R. Leite Leal,"-22.93533501","-43.18899561"
R. das Laranjeiras x R. Mário Portela,"-22.9362338","-43.18991393"
R. das Laranjeiras x R. Gal Glicério,"-22.93834923","-43.19148947"
R. das Laranjeiras x R. Almte Salgado,"-22.93863933","-43.19335671"
R. Cosme Velho x R. Pires de Almeida,"-22.93845585","-43.19444401"
R. Pinheiro Machado x Via de Ligação (Sem Código),"-22.93810406","-43.18328468"
R. Pinheiro Machado x R. Coelho Neto,"-22.93734323","-43.18338107"
R. Pinheiro Machado x R. das Laranjeiras,"-22.93307684","-43.18495033"
R. das Laranjeiras x Trav. Ped.,"-22.93544071","-43.18369975"
R. Cosme Velho x Trav. Ped.,"-22.93863891","-43.19582409"
R. Cosme Velho x Trav. Ped.,"-22.93956276","-43.1962245"
R. Cosme Velho x Trav. Ped.,"-22.94016031","-43.19836708"
R. Cosme Velho x Via de Ligação (Sem Código),"-22.94016869","-43.19851871"
Praia Botafogo x Av. Oswaldo Cruz,"-22.94150032","-43.17676641"
Av. das Nações Unidas x Av. Oswaldo Cruz,"-22.94176477","-43.17720797"
Av. das Nações Unidas x Trav. Ped.,"-22.94244052","-43.17721501"
Praia Botafogo x R. Senad Vergueiro,"-22.94098626","-43.17731065"
Praia Botafogo x R. Marq de Abrantes,"-22.94067965","-43.17869743"
Praia Botafogo x R. Farani,"-22.94191229","-43.18025923"
Praia Botafogo x Trav. Ped.,"-22.94247371","-43.18093942"
R. do Catete x R. Buarque de Macedo,"-22.92838524","-43.17711426"
R. Bento Lisboa x R. Artur Bernardes,"-22.92853436","-43.17922181"
R. Senad Vergueiro x R. Tucumam,"-22.93372376","-43.17470337"
R. Marq de Abrantes x Trav. Ped.,"-22.93518489","-43.17728701"
R. Pinheiro Machado x Trav. Ped.,"-22.93902322","-43.18305669"
R. Pinheiro Machado x Trav. Ped.,"-22.93902322","-43.18305669"
R. Marq de Olinda x Trav. Ped.,"-22.94412553","-43.18220166"
Praia Botafogo x R. Visc de Ouro Preto,"-22.94572698","-43.18254707"
Praia Botafogo x R. Prof Alfredo Gomes,"-22.94738266","-43.18251656"
R. Voluntários da Pátria x Trav. Ped.,"-22.95098696","-43.1826065"
Praia Botafogo x R. Prof Álvaro Rodrigues,"-22.95098696","-43.1826065"
R. Muniz Barreto x R. Marq de Olinda,"-22.94344995","-43.18426897"
R. Muniz Barreto x R. Visc de Ouro Preto,"-22.94604876","-43.18428322"
R. Muniz Barreto x R. Prof Alfredo Gomes,"-22.9478476","-43.18430937"
R. São Clemente x R. Muniz Barreto,"-22.94937445","-43.1843434"
R. Bambina x R. Marq de Olinda,"-22.94417968","-43.18539206"
R. Bambina x R. Visc de Ouro Preto,"-22.9464495","-43.18578886"
R. São Clemente x Trav. Ped.,"-22.94944846","-43.18533045"
R. Assunção x R. Mal. Niemeyer,"-22.94512063","-43.18691689"
R. São Clemente x R. Barão de Lucena,"-22.94939918","-43.1873323"
R. São Clemente x R. Guilhermina Guinle,"-22.94947679","-43.18870459"
R. São Clemente x R. Sorocaba,"-22.94992254","-43.19100844"
R. São Clemente x R. da Matriz,"-22.95037148","-43.1926725"
R. São Clemente x R. Serafim Valandro,"-22.95079443","-43.19363642"
R. São Clemente x R. Conde de Iraja,"-22.95238523","-43.19633648"
R. Voluntários da Pátria x R. Conde de Iraja,"-22.95534245","-43.19560943"
R. Voluntários da Pátria x R. Real Grandeza,"-22.95450895","-43.19326158"
R. Voluntários da Pátria x R. São João Batista,"-22.95385608","-43.19151009"
R. Voluntários da Pátria x R. Sorocaba,"-22.95359893","-43.19067006"
R. Voluntários da Pátria x R. Dona Mariana,"-22.9532437","-43.18928361"
R. Voluntários da Pátria x R. Dezenove de Fevereiro,"-22.95291723","-43.18823185"
R. Voluntários da Pátria x R. Paulino Fernandes,"-22.95242588","-43.18673409"
R. Voluntários da Pátria x R. Nelson Mandela,"-22.95138711","-43.18439939"
R. Prof Álvaro Rodrigues x Via de Ligação (Sem Código),"-22.95260299","-43.1847459"
R. Prof Álvaro Rodrigues x R. Paulino Fernandes,"-22.95283048","-43.18496483"
R. Mena Barreto x R. Dezenove de Fevereiro,"-22.95382256","-43.1859228"
R. Mena Barreto x R. Paulo Barreto,"-22.9538876","-43.18600754"
R. Mena Barreto x R. Dona Mariana,"-22.95487314","-43.18775743"
R. Mena Barreto x R. Sorocaba,"-22.95542417","-43.18896795"
R. Mena Barreto x R. São João Batista,"-22.95589775","-43.19003622"
R. Visc de Silva x R. Real Grandeza,"-22.95682001","-43.1921519"
R. Gal Polidoro x R. Real Grandeza,"-22.95813899","-43.19151906"
R. Gal Polidoro x Trav. Ped.,"-22.95754773","-43.18956994"
R. Gal Polidoro x R. Arnaldo Quintela,"-22.95592415","-43.18503348"
R. Arnaldo Quintela x R. da Passagem,"-22.95430779","-43.18124503"
R. da Passagem x Trav. Ped.,"-22.95553339","-43.18052176"
Av. Lauro Sodré x R. Gal Goes Monteiro,"-22.95563607","-43.17838387"
Av. Venceslau Braz x Pç. Ozanam,"-22.95615298","-43.17705031"
Av. Venceslau Braz x Av. Pasteur,"-22.95153329","-43.17523336"
Av. Pasteur x R. Dr. Xavier Sigaud,"-22.95263099","-43.17304879"
Av. Pasteur x Trav. Ped.,"-22.95306517","-43.17216164"
Av. Pasteur x Trav. Ped.,"-22.95374494","-43.17023683"
R. São Clemente x Trav. Ped.,"-22.94970051","-43.18989264"
R. Nelson Mandela x R. Prof Álvaro Rodrigues,"-22.95195708","-43.18355441"
R. Gal Severiano x Via de Ligação (Sem Código),"-22.95317983","-43.17795748"
R. Visc de Silva x R. Conde de Iraja,"-22.95765116","-43.1944684"
R. Prof Álvaro Rodrigues x R. da Passagem,"-22.95131168","-43.18235454"
Av. Pasteur x Trav. Ped.,"-22.95029964","-43.17804096"
R. Gal Severiano x Trav. Ped.,"-22.95374402","-43.17977593"
Av. Pasteur x R. Ramom Franco,"-22.95450962","-43.16766132"
R. Jardim Botânico x Trav. Ped.,"-22.96414001","-43.21743918"
R. Jardim Botânico x R. Faro,"-22.96329897","-43.21661507"
R. Jardim Botânico x R. Oliveira Rocha,"-22.96206649","-43.21537052"
R. Jardim Botânico x Trav. Ped.,"-22.96118723","-43.21239545"
R. Jardim Botânico x R. Maria Angélica,"-22.96062397","-43.20763067"
R. Humaitá x R. Fonte da Saudade,"-22.96001184","-43.2029265"
R. Jardim Botânico x R. Prof Abelardo Lobo,"-22.95994026","-43.20359839"
R. Prof Saldanha x R. Prof Abelardo Lobo,"-22.96080594","-43.20439786"
R. Humaitá x Trav. Ped.,"-22.95985174","-43.2025665"
Av. Lineu de Paula Machado x R. J J Seabra,"-22.96438443","-43.21619958"
R. Humaitá x Trav. Ped.,"-22.95915286","-43.20106328"
R. Humaitá x Trav. Ped.,"-22.95914381","-43.2010725"
R. Humaitá x R. Macedo Sobrinho,"-22.95818919","-43.19867696"
R. Humaitá x R. Desembargador Burle,"-22.95702587","-43.19863421"
R. Humaitá x R. Mário de Andrade,"-22.95388374","-43.19689413"
R. Fonte da Saudade x Trav. Ped.,"-22.96186809","-43.20305977"
Av. Lineu de Paula Machado x R. Saturnino de Brito,"-22.96610791","-43.21758812"
Av. Borges de Medeiros x Trav. Ped.,"-22.96442013","-43.21486727"
Av. Borges de Medeiros x Trav. Ped.,"-22.96442013","-43.21486727"
Av. Borges de Medeiros x Via de Ligação (Sem Código),"-22.96278943","-43.21181081"
Av. Lineu de Paula Machado x Via de Ligação (Sem Código),"-22.96260671","-43.21192665"
Av. Borges de Medeiros x Av. Lineu de Paula Machado,"-22.96315455","-43.21249503"
Av. Lineu de Paula Machado x Via de Ligação (Sem Código),"-22.96315455","-43.21249503"
Av. Borges de Medeiros x Trav. Ped.,"-22.9630258","-43.21011214"
Av. Borges de Medeiros x Trav. Ped.,"-22.96314768","-43.20723605"
Av. Alexandre Ferreira x R. Maria Angélica,"-22.96187212","-43.20774308"
Av. Epitácio Pessoa x R. Fonte da Saudade,"-22.96717158","-43.20379377"
Av. Epitácio Pessoa x Trav. Ped.,"-22.96524583","-43.20395186"
Av. Epitácio Pessoa x R. Frei Solano,"-22.96241066","-43.20393962"
R. Fonte da Saudade x R. Almte Guillobel,"-22.9662577","-43.20279348"
R. Fonte da Saudade x Trav. Ped.,"-22.9652512","-43.20297914"
R. Voluntários da Pátria x R. Gal Dionísio,"-22.95585374","-43.19729554"
Av. Epitácio Pessoa x Trav. Ped.,"-22.96971557","-43.2055994"
Av. Epitácio Pessoa x Trav. Ped.,"-22.96966536","-43.205976"
R. Humaitá x Trav. Ped.,"-22.96032071","-43.20366897"
R. Fonte da Saudade x Trav. Ped.,"-22.960673","-43.20313512"
R. Visc de Silva x R. Macedo Sobrinho,"-22.95855322","-43.19819668"
R. Voluntários da Pátria x R. Cap Salomão,"-22.95584964","-43.19728564"
R. Jardim Botânico x R. Lopes Quintas,"-22.9649316","-43.2180876"
R. Jardim Botânico x R. Pacheco Leão,"-22.96630908","-43.21920072"
Av. Borges de Medeiros x R. Saturnino de Brito,"-22.96653941","-43.21668263"
Av. Borges de Medeiros x Trav. Ped.,"-22.96653941","-43.21668263"
Av. Borges de Medeiros x R. J J Seabra,"-22.96495632","-43.21567386"
Av. Borges de Medeiros x R. Batista da Costa,"-22.96537776","-43.21599749"
R. Humaitá x R. Davi Campista,"-22.95469243","-43.19738707"
R. Visc de Silva x R. Pinheiro Guimarães,"-22.95851349","-43.19713938"
R. Pinheiro Guimarães x Trav. Ped.,"-22.95835239","-43.19720853"
R. Pinheiro Guimarães x R. Conde de Iraja,"-22.95809976","-43.19400446"
Av. Epitácio Pessoa x Trav. Ped.,"-22.97220491","-43.20288869"
Av. Epitácio Pessoa x Trav. Ped.,"-22.97220491","-43.20288869"
R. Pacheco Leão x Trav. Ped.,"-22.96541708","-43.22942262"
R. Jardim Botânico x Trav. Ped.,"-22.96927988","-43.22172484"
R. Jardim Botânico x Via de Ligação (Sem Código),"-22.97075098","-43.22300895"
R. Jardim Botânico x Via de Ligação (Sem Código),"-22.97209879","-43.22416406"
R. Jardim Botânico x Pç. Santos Dumont,"-22.97307051","-43.22530643"
Av. Bartolomeu Mitre x R. Marq de São Vicente,"-22.97484412","-43.22592083"
R. Jardim Botânico x Trav. Ped.,"-22.97419704","-43.22636674"
R. Marq de São Vicente x Trav. Ped.,"-22.97575531","-43.22826466"
R. Marq de São Vicente x R. Prof Manoel Ferreira,"-22.97600049","-43.22869163"
R. Marq de São Vicente x R. Vcgove Rubens Berardo,"-22.97669987","-43.22993986"
R. Marq de São Vicente x R. Duque Estrada,"-22.97814424","-43.23355188"
R. Marq de São Vicente x Trav. Ped.,"-22.98072754","-43.23524158"
Av. Borges de Medeiros x Via de Ligação (Sem Código),"-22.97463901","-43.21815675"
Av. Borges de Medeiros x R. Mário Ribeiro,"-22.97722617","-43.21938235"
Av. Borges de Medeiros x R. Gilberto Cardoso,"-22.97877012","-43.21804745"
Av. Borges de Medeiros x R. Gilberto Cardoso,"-22.97913331","-43.21717984"
R. Gilberto Cardoso x R. Fadel Fadel,"-22.97946783","-43.22092077"
R. Adalberto Ferreira x R. Gilberto Cardoso,"-22.97989547","-43.22264652"
Av. Bartolomeu Mitre x R. Juquia,"-22.98072193","-43.22399592"
Av. Bartolomeu Mitre x R. Tubira,"-22.97924479","-43.22401771"
Av. Bartolomeu Mitre x R. Tubira,"-22.97927362","-43.22402559"
Av. Bartolomeu Mitre x R. Mário Ribeiro,"-22.97894505","-43.22423329"
Av. Bartolomeu Mitre x Trav. Ped.,"-22.97579647","-43.22538111"
R. Mário Ribeiro x R. Minist Raul Machado,"-22.97806394","-43.222442"
Av. Rodrigo Otavio x Av. Visc de Albuquerque,"-22.97878219","-43.2263851"
R. Vcgove Rubens Berardo x Trav. Ped.,"-22.97867448","-43.22963837"
Av. Borges de Medeiros x Av. Epitácio Pessoa,"-22.98052068","-43.21471129"
Av. Bartolomeu Mitre x Av. Visc de Albuquerque,"-22.97709969","-43.22451526"
R. Barão do Bom Retiro x Trav. Ped.,"-22.91587466","-43.2624873"
R. Visc de Santa Isabel x R. José do Patrocínio,"-22.91701779","-43.26238847"
R. Visc de Santa Isabel x R. Barão do Bom Retiro,"-22.9169768","-43.26177467"
R. Visc de Santa Isabel x R. Alexandre Calaza,"-22.91681821","-43.25975253"
R. Visc de Santa Isabel x R. Emilia Sampaio,"-22.91686951","-43.25756611"
R. Visc de Santa Isabel x R. Luiz Guimarães,"-22.91701972","-43.25848544"
R. Visc de Santa Isabel x R. Petrocochino,"-22.91656408","-43.25411562"
R. Visc de Santa Isabel x R. Barão de São Francisco,"-22.91610424","-43.25115664"
Blv Vinte e Oito de Setembro x R. Luiz Barbosa,"-22.91650582","-43.24968386"
Blv Vinte e Oito de Setembro x R. Silva Pinto,"-22.91612679","-43.24753926"
Blv Vinte e Oito de Setembro x R. Souza Franco,"-22.9154953","-43.24479645"
Blv Vinte e Oito de Setembro x R. Visc de Abaeté,"-22.91546579","-43.24424366"
Blv Vinte e Oito de Setembro x R. Gonzaga Bastos,"-22.91504703","-43.24212589"
Blv Vinte e Oito de Setembro x R. Justiniano da Rocha,"-22.91433373","-43.23874128"
R. Torres Homem x R. Souza Franco,"-22.91388564","-43.24591896"
